2020-01-07T14:00:00,299,1,-1.99,0.17
2020-01-07T14:05:00,295,1,-1.15,21.19
2020-01-07T14:10:00,300,1,0.9,72.58
2020-01-07T14:15:00,299,1,1.96,98.91
2020-01-07T14:20:00,299,1,1.99,99.83
2020-01-07T14:25:00,300,1,2.0,100.0
2020-01-07T14:30:00,300,1,1.97,99.17
2020-01-07T14:35:00,300,1,2.0,100.0
2020-01-07T14:40:00,300,1,2.0,100.0
2020-01-07T14:45:00,300,1,2.0,100.0
2020-01-07T14:50:00,300,1,2.0,100.0
2020-01-07T14:55:00,300,1,2.0,100.0
2020-01-07T15:00:00,300,1,2.0,100.0
2020-01-07T15:05:00,294,1,1.93,98.3
2020-01-07T15:10:00,300,1,2.0,100.0
2020-01-07T15:15:00,300,1,2.0,100.0
2020-01-07T15:20:00,300,1,2.0,100.0
2020-01-07T15:25:00,300,1,2.0,100.0
2020-01-07T15:30:00,299,1,1.33,83.28
2020-01-07T15:35:00,298,1,0.8,69.88
2020-01-07T15:40:00,300,1,2.0,100.0
2020-01-07T15:45:00,300,1,2.0,100.0
2020-01-07T15:50:00,300,1,2.0,100.0
2020-01-07T15:55:00,300,1,2.0,99.92
2020-01-07T16:00:00,300,1,2.0,100.0
2020-01-07T16:05:00,299,1,1.46,86.62
2020-01-07T16:10:00,300,1,1.25,81.33
2020-01-07T16:15:00,300,1,1.82,95.58
2020-01-07T16:20:00,298,1,1.86,96.48
2020-01-07T16:25:00,300,1,2.0,100.0
2020-01-07T16:30:00,300,1,2.0,100.0
2020-01-07T16:35:00,300,1,2.0,100.0
2020-01-07T16:40:00,298,1,1.9,97.57
2020-01-07T16:45:00,300,1,1.92,98.0
2020-01-07T16:50:00,300,1,1.95,98.67
2020-01-07T16:55:00,294,1,1.75,93.79
2020-01-07T17:00:00,298,1,1.97,99.16
2020-01-07T17:05:00,300,1,1.99,99.75
2020-01-07T17:10:00,298,1,1.86,96.39
2020-01-07T17:15:00,297,1,1.9,97.56
2020-01-07T17:20:00,293,1,1.95,98.63
2020-01-07T17:25:00,299,1,2.0,99.92
2020-01-07T17:30:00,297,1,2.0,100.0
2020-01-07T17:35:00,300,1,1.99,99.67
2020-01-07T17:40:00,118,1,1.52,87.92
2020-01-07T19:30:00,43,1,1.53,88.37
2020-01-07T19:35:00,296,1,-0.26,43.58
2020-01-07T19:40:00,299,1,1.1,77.42
2020-01-07T19:45:00,298,1,1.28,81.96
2020-01-07T19:50:00,300,1,1.94,98.58
2020-01-07T19:55:00,300,1,0.26,56.5
2020-01-07T20:00:00,300,1,1.23,80.75
2020-01-07T20:05:00,300,1,1.49,87.25
2020-01-07T20:10:00,300,1,2.0,100.0
2020-01-07T20:15:00,300,1,2.0,100.0
2020-01-07T20:20:00,298,1,2.0,100.0
2020-01-07T20:25:00,300,1,1.64,91.0
2020-01-07T20:30:00,300,1,0.8,70.0
2020-01-07T20:35:00,295,1,1.32,83.05
2020-01-07T20:40:00,290,1,0.47,61.81
2020-01-07T20:45:00,202,1,0.39,59.78
2020-01-07T20:50:00,283,1,0.61,65.28
2020-01-07T20:55:00,299,1,0.12,53.01
2020-01-07T21:00:00,300,1,0.0,50.0
2020-01-07T21:05:00,300,1,0.0,50.0
2020-01-07T21:10:00,300,1,0.3,57.5
2020-01-07T21:15:00,185,1,0.3,57.57
2020-01-07T21:40:00,133,1,0.88,71.99
2020-01-07T22:20:00,30,1,1.0,75.0
2020-01-07T22:25:00,300,1,0.63,65.67
2020-01-07T22:30:00,300,1,2.0,100.0
2020-01-07T22:35:00,296,1,2.0,100.0
2020-01-07T22:40:00,299,1,1.28,82.02
2020-01-07T22:45:00,300,1,2.0,100.0
2020-01-07T22:50:00,300,1,2.0,100.0
2020-01-07T22:55:00,298,1,1.98,99.5
2020-01-07T23:00:00,299,1,1.96,99.0
2020-01-07T23:05:00,300,1,2.0,100.0
2020-01-07T23:10:00,299,1,1.94,98.41
2020-01-07T23:15:00,300,1,2.0,100.0
2020-01-07T23:20:00,300,1,1.56,89.0
2020-01-07T23:25:00,300,1,2.0,100.0
2020-01-07T23:30:00,300,1,1.97,99.33
2020-01-07T23:35:00,300,1,2.0,100.0
2020-01-07T23:40:00,300,1,1.79,94.83
2020-01-07T23:45:00,300,1,2.0,100.0
2020-01-07T23:50:00,300,1,1.91,97.83
2020-01-07T23:55:00,297,1,-0.01,49.66
2020-01-08T00:00:00,98,1,0.14,53.57
2020-01-08T12:10:00,181,1,0.65,66.16
2020-01-08T12:15:00,300,1,0.63,65.67
2020-01-08T12:20:00,300,1,1.29,82.25
2020-01-08T12:25:00,300,1,2.0,100.0
2020-01-08T12:30:00,300,1,2.0,100.0
2020-01-08T12:35:00,300,1,2.0,100.0
2020-01-08T12:40:00,300,1,2.0,100.0
2020-01-08T12:45:00,300,1,2.0,100.0
2020-01-08T12:50:00,300,1,2.0,100.0
2020-01-08T12:55:00,300,1,2.0,100.0
2020-01-08T13:00:00,300,1,2.0,100.0
2020-01-08T13:05:00,300,1,1.97,99.17
2020-01-08T13:10:00,300,1,2.0,100.0
2020-01-08T13:15:00,300,1,2.0,100.0
2020-01-08T13:20:00,300,1,2.0,100.0
2020-01-08T13:25:00,300,1,2.0,100.0
2020-01-08T13:30:00,300,1,2.0,100.0
2020-01-08T13:35:00,300,1,2.0,100.0
2020-01-08T13:40:00,300,1,2.0,100.0
2020-01-08T13:45:00,300,1,2.0,100.0
2020-01-08T13:50:00,226,1,1.76,93.92
2020-01-08T14:00:00,193,1,1.94,98.58
2020-01-08T14:05:00,300,1,2.0,100.0
2020-01-08T14:10:00,300,1,2.0,100.0
2020-01-08T14:15:00,300,1,2.0,100.0
2020-01-08T14:20:00,300,1,2.0,100.0
2020-01-08T14:25:00,300,1,2.0,100.0
2020-01-08T14:30:00,243,1,2.0,100.0
2020-01-08T15:10:00,124,1,1.77,94.15
2020-01-08T16:05:00,141,1,2.0,100.0
2020-01-08T16:10:00,300,1,1.97,99.33
2020-01-08T16:15:00,300,1,2.0,100.0
2020-01-08T16:20:00,300,1,2.0,100.0
2020-01-08T16:25:00,300,1,2.0,100.0
2020-01-08T16:30:00,300,1,2.0,100.0
2020-01-08T16:35:00,245,1,1.95,98.67
2020-01-08T16:40:00,300,1,2.0,100.0
2020-01-08T16:45:00,300,1,2.0,100.0
2020-01-08T16:50:00,300,1,2.0,100.0
2020-01-08T16:55:00,300,1,2.0,100.0
2020-01-08T17:00:00,300,1,2.0,100.0
2020-01-08T17:05:00,300,1,2.0,100.0
2020-01-08T17:10:00,300,1,1.78,94.58
2020-01-08T17:15:00,300,1,1.0,75.0
2020-01-08T17:20:00,300,1,1.0,75.0
2020-01-08T17:25:00,300,1,1.0,75.0
2020-01-08T17:30:00,300,1,1.0,75.0
2020-01-08T17:35:00,300,1,1.0,75.0
2020-01-08T17:40:00,300,1,1.0,75.0
2020-01-08T17:45:00,300,1,1.0,75.0
2020-01-08T17:50:00,300,1,1.29,82.25
2020-01-08T17:55:00,102,1,1.87,96.81
2020-01-08T18:05:00,38,1,1.97,99.34
2020-01-08T18:10:00,299,1,1.0,75.0
2020-01-08T18:15:00,86,1,1.0,75.0
2020-01-08T18:25:00,130,1,1.0,75.0
2020-01-08T18:30:00,300,1,1.0,75.0
2020-01-08T18:35:00,300,1,1.0,75.0
