timestamps,TP9,AF7,AF8,TP10,Right AUX
1578400661.855,48.340,46.875,45.410,61.035,34.668
1578400661.859,43.945,42.969,43.457,51.270,35.156
1578400661.862,46.387,46.875,41.504,42.969,55.664
1578400661.866,50.293,46.387,41.992,43.457,84.961
1578400661.870,44.922,41.504,40.527,46.875,81.055
1578400661.874,35.645,42.969,39.551,49.805,76.660
1578400661.878,36.133,39.551,40.527,48.828,17.090
1578400661.882,46.387,38.574,45.898,45.898,4.395
1578400661.886,51.270,41.992,48.340,41.504,38.086
1578400661.890,42.969,43.945,45.898,45.898,62.988
1578400661.894,35.645,42.969,44.922,54.199,41.992
1578400661.898,34.180,40.527,43.945,44.922,28.809
1578400661.902,37.109,40.527,34.668,34.668,48.828
1578400661.905,42.480,37.598,33.203,38.086,18.066
1578400661.909,44.434,36.621,39.062,43.457,10.742
1578400661.913,41.992,41.992,35.156,44.922,-3.418
1578400661.917,39.551,37.109,34.180,41.016,14.160
1578400661.921,45.898,39.551,36.621,38.574,12.207
1578400661.925,48.340,41.992,33.203,33.691,-25.391
1578400661.929,46.875,35.645,35.645,38.086,-6.836
1578400661.933,42.480,39.551,41.016,43.457,9.277
1578400661.937,37.109,40.527,39.062,37.598,18.555
1578400661.941,40.039,41.504,36.621,32.715,17.578
1578400661.945,48.828,43.945,35.645,35.645,37.598
1578400661.948,45.898,43.457,41.016,44.434,55.664
1578400661.952,38.574,44.922,43.945,45.898,35.645
1578400661.956,32.227,36.133,41.504,40.527,31.250
1578400661.960,32.715,40.039,43.945,36.621,17.578
1578400661.964,45.410,45.898,45.898,40.527,-12.207
1578400661.968,45.898,41.016,41.504,44.922,-3.418
1578400661.972,37.598,40.527,41.504,45.898,46.387
1578400661.976,31.738,41.504,41.504,40.527,69.336
1578400661.980,31.250,38.086,38.574,31.738,24.414
1578400661.984,39.551,41.504,37.598,31.250,39.062
1578400661.987,40.527,45.410,36.133,34.668,74.219
1578400661.991,35.645,45.898,35.645,41.016,67.383
1578400661.995,28.320,47.363,34.180,38.086,72.266
1578400661.999,27.832,43.457,39.551,30.762,70.312
1578400662.003,35.645,40.039,39.062,31.738,65.918
1578400662.007,35.156,40.527,34.668,35.645,79.590
1578400662.011,27.344,43.457,38.574,38.086,46.387
1578400662.015,27.344,45.410,41.504,38.574,7.324
1578400662.019,33.203,46.387,45.410,34.180,35.645
1578400662.023,36.621,42.480,44.434,29.785,55.664
1578400662.027,44.922,39.551,40.527,33.203,23.926
1578400662.030,42.969,36.133,36.621,38.574,-1.465
1578400662.034,36.621,38.086,32.715,43.945,-10.742
1578400662.038,39.551,41.504,34.668,41.504,20.020
1578400662.042,46.875,43.457,37.598,37.109,24.902
1578400662.046,52.246,47.852,33.691,43.945,9.766
1578400662.050,44.434,47.363,33.691,46.387,13.672
1578400662.054,31.250,50.293,37.109,38.086,-13.184
1578400662.058,33.691,50.781,38.574,32.227,-13.672
1578400662.062,44.434,48.828,41.504,30.762,-1.465
1578400662.066,39.551,51.270,41.016,25.879,5.859
1578400662.070,36.621,52.734,36.621,36.133,59.570
1578400662.073,32.715,44.434,30.762,29.785,56.152
1578400662.077,29.785,39.062,28.809,12.695,44.922
1578400662.081,31.250,42.969,28.809,14.160,62.988
1578400662.085,30.273,37.109,25.879,17.578,70.801
1578400662.089,37.598,38.086,29.785,29.785,65.430
1578400662.093,29.297,41.992,31.250,31.738,40.039
1578400662.097,24.902,36.133,27.344,24.414,9.766
1578400662.101,39.551,39.062,24.414,22.949,21.973
1578400662.105,47.363,47.852,23.438,24.414,-35.156
1578400662.109,44.434,52.246,29.297,32.227,-20.508
1578400662.112,37.598,45.410,30.273,34.180,60.547
1578400662.116,31.250,35.645,22.461,29.785,37.109
1578400662.120,37.109,37.109,23.926,25.879,79.102
1578400662.124,43.457,44.434,32.227,23.438,39.551
1578400662.128,40.039,37.598,29.297,28.809,16.602
1578400662.132,32.715,34.180,22.949,35.156,65.430
1578400662.136,28.320,43.457,28.320,32.715,25.879
1578400662.140,32.715,43.945,29.785,25.391,3.418
1578400662.144,38.574,37.109,25.391,27.832,38.086
1578400662.148,41.504,38.574,26.367,37.598,40.527
1578400662.152,34.180,43.457,36.621,40.039,27.344
1578400662.155,32.715,43.945,47.363,40.527,36.133
1578400662.159,39.062,44.922,39.551,32.227,29.785
1578400662.163,48.828,49.805,35.645,29.785,76.660
1578400662.167,49.805,48.340,37.109,31.250,77.148
1578400662.171,42.969,41.992,28.320,29.297,16.113
1578400662.175,33.203,37.598,31.738,27.344,20.996
1578400662.179,30.762,41.992,38.574,22.949,-5.371
1578400662.183,39.551,44.434,31.250,21.973,11.230
1578400662.187,39.062,42.969,30.273,30.762,34.668
1578400662.191,30.762,42.969,36.621,37.598,36.621
1578400662.195,25.879,38.086,34.668,31.738,71.289
1578400662.198,28.809,36.621,33.691,28.320,38.086
1578400662.202,38.574,42.480,38.086,30.273,28.809
1578400662.206,43.457,39.551,37.598,34.668,35.645
1578400662.210,33.203,34.668,31.250,33.691,31.250
1578400662.214,24.414,42.969,34.180,29.785,43.945
1578400662.218,30.273,44.434,38.574,33.203,28.809
1578400662.222,33.691,39.062,35.156,33.691,8.301
1578400662.226,35.645,35.156,37.109,34.668,24.414
1578400662.230,36.133,36.133,41.016,41.504,59.082
1578400662.234,29.785,34.668,39.551,41.504,59.570
1578400662.237,26.855,25.879,41.504,33.203,7.324
1578400662.241,34.668,32.715,39.062,33.203,1.465
1578400662.245,45.410,43.457,35.645,39.551,-12.207
1578400662.249,41.016,40.527,34.180,42.969,-4.395
1578400662.253,30.273,39.551,30.762,43.457,18.066
1578400662.257,32.227,43.457,35.645,38.574,88.867
1578400662.261,38.574,49.805,41.504,33.203,96.680
1578400662.265,41.504,49.316,37.109,35.645,62.988
1578400662.269,42.969,42.480,37.598,43.457,88.867
1578400662.273,36.621,36.621,41.016,46.387,45.410
1578400662.277,37.109,32.227,37.598,46.875,-13.672
1578400662.280,44.434,35.645,32.715,39.551,-22.949
1578400662.284,50.781,41.992,34.180,36.621,-1.953
1578400662.288,45.898,41.504,36.133,41.504,18.066
1578400662.292,35.645,40.527,35.645,44.434,49.805
1578400662.296,48.340,43.945,35.645,50.293,41.992
1578400662.300,54.199,40.039,40.039,45.898,46.875
1578400662.304,44.922,34.180,48.340,38.086,79.590
1578400662.308,41.992,39.551,45.410,36.621,46.875
1578400662.312,36.133,38.086,44.434,38.574,36.621
1578400662.316,27.344,28.809,45.898,38.086,79.102
1578400662.320,31.738,31.250,40.527,32.227,94.727
1578400662.323,47.363,36.621,39.551,35.645,87.402
1578400662.327,41.992,40.039,38.574,39.062,83.008
1578400662.331,28.320,36.621,30.273,33.691,50.781
1578400662.335,26.855,26.367,25.391,27.832,18.066
1578400662.339,33.203,35.156,30.762,26.855,16.602
1578400662.343,44.434,45.898,35.156,31.738,3.418
1578400662.347,50.293,39.062,31.250,36.621,-8.301
1578400662.351,43.945,37.109,28.320,35.156,36.133
1578400662.355,34.668,41.016,28.809,35.156,86.426
1578400662.359,41.016,39.551,26.855,34.668,49.805
1578400662.362,53.223,33.203,28.320,33.203,37.598
1578400662.366,53.223,27.832,34.180,39.062,57.129
1578400662.370,41.992,32.227,35.156,43.457,84.473
1578400662.374,32.715,40.527,39.551,41.016,83.496
1578400662.378,34.668,45.410,42.969,31.250,29.297
1578400662.382,44.922,43.945,42.969,32.715,8.301
1578400662.386,50.781,40.039,43.945,44.922,47.363
1578400662.390,41.504,45.410,40.527,45.410,66.895
1578400662.394,34.180,47.363,30.273,43.457,20.508
1578400662.398,36.133,37.598,25.391,38.574,-12.207
1578400662.402,41.992,36.621,31.250,37.598,40.039
1578400662.405,49.316,40.039,37.598,42.969,58.105
1578400662.409,44.434,36.133,38.086,44.922,78.125
1578400662.413,36.133,36.621,30.762,45.410,82.031
1578400662.417,32.715,33.203,31.250,39.062,25.391
1578400662.421,36.621,30.762,36.133,32.227,28.320
1578400662.425,40.039,37.109,34.180,34.180,40.527
1578400662.429,29.785,37.598,31.738,36.133,41.016
1578400662.433,22.949,37.598,28.320,32.227,28.320
1578400662.437,20.996,38.574,25.879,30.762,-1.953
1578400662.441,27.832,40.527,30.273,33.691,9.766
1578400662.445,40.039,41.992,33.691,34.668,24.414
1578400662.448,40.527,38.086,29.785,38.086,62.500
1578400662.452,36.133,28.320,29.785,41.016,113.281
1578400662.456,33.691,25.879,33.691,34.180,91.797
1578400662.460,42.480,38.574,32.715,36.133,11.230
1578400662.464,48.828,43.457,28.809,43.457,-23.438
1578400662.468,45.898,37.109,30.762,48.340,-23.926
1578400662.472,39.551,29.785,34.668,49.805,0.000
1578400662.476,30.273,29.785,35.156,42.969,2.441
1578400662.480,30.273,32.227,37.598,37.598,-2.441
1578400662.484,39.062,34.668,37.109,35.156,6.836
1578400662.487,39.062,38.574,38.086,39.551,47.363
1578400662.491,27.832,34.180,38.086,38.574,82.520
1578400662.495,16.602,29.297,32.227,24.414,50.781
1578400662.499,18.066,32.715,34.668,20.020,90.820
1578400662.503,26.367,31.738,40.039,27.344,111.816
1578400662.507,32.715,32.715,39.551,33.691,21.484
1578400662.511,27.832,34.180,40.527,35.156,-0.488
1578400662.515,21.484,36.621,40.039,27.832,18.066
1578400662.519,31.250,38.086,36.133,25.879,36.621
1578400662.523,43.457,41.016,33.203,26.367,1.953
1578400662.527,53.223,44.922,29.785,31.738,35.156
1578400662.530,54.199,39.062,32.227,47.363,47.852
1578400662.534,35.156,34.180,41.504,41.504,-19.043
1578400662.538,24.414,35.645,40.039,25.879,-9.766
1578400662.542,29.785,35.156,35.156,21.484,7.812
1578400662.546,31.738,37.598,31.250,23.926,19.043
1578400662.550,32.227,39.062,31.250,36.133,11.719
1578400662.554,22.461,34.668,35.645,34.668,-6.836
1578400662.558,24.414,32.227,41.016,24.902,25.391
1578400662.562,40.527,35.645,41.504,27.832,56.641
1578400662.566,41.016,38.086,36.621,33.203,45.410
1578400662.570,38.574,40.039,36.621,36.621,95.215
1578400662.573,34.180,41.992,33.203,36.621,73.730
1578400662.577,33.691,40.527,35.156,32.715,5.371
1578400662.581,41.992,41.504,31.250,28.809,43.457
1578400662.585,46.875,39.551,26.367,26.855,27.344
1578400662.589,41.504,33.691,36.133,31.250,37.109
1578400662.593,29.297,28.320,43.945,38.086,54.688
1578400662.597,28.809,24.414,40.039,39.062,31.250
1578400662.601,36.621,27.344,28.320,33.203,12.695
1578400662.605,40.039,33.203,25.879,35.156,25.879
1578400662.609,41.992,37.109,31.738,46.387,71.777
1578400662.612,33.203,36.133,29.785,45.410,60.059
1578400662.616,22.461,36.133,25.391,36.133,68.848
1578400662.620,24.902,38.574,26.367,30.762,38.086
1578400662.624,34.668,40.039,33.691,29.785,30.273
1578400662.628,41.016,39.062,33.203,32.227,91.309
1578400662.632,32.715,40.039,28.809,36.621,75.684
1578400662.636,23.926,43.457,29.785,38.574,31.250
1578400662.640,28.809,42.969,33.691,34.668,18.066
1578400662.644,37.109,41.016,32.715,36.621,51.758
1578400662.648,43.457,41.992,30.762,42.480,54.199
1578400662.652,33.203,37.109,32.715,40.039,44.922
1578400662.655,24.414,37.598,41.016,37.598,57.617
1578400662.659,32.715,40.039,45.898,35.156,16.602
1578400662.663,35.645,32.715,42.969,28.320,45.410
1578400662.667,36.621,29.297,41.504,33.203,34.180
1578400662.671,34.180,33.203,45.898,41.504,-30.273
1578400662.675,25.879,35.156,48.340,37.598,19.531
1578400662.679,30.762,32.227,41.016,34.668,11.230
1578400662.683,36.621,30.762,38.086,34.668,-25.391
1578400662.687,38.574,36.621,34.668,34.668,-4.395
1578400662.691,36.621,39.062,33.691,35.156,35.645
1578400662.695,27.832,34.180,37.109,32.715,12.207
1578400662.698,33.203,36.621,37.598,34.668,20.996
1578400662.702,39.062,41.016,40.039,35.645,6.348
1578400662.706,35.645,37.109,39.062,39.551,-12.695
1578400662.710,26.855,32.715,36.133,40.039,-1.465
1578400662.714,21.484,33.203,40.039,34.180,15.625
1578400662.718,26.855,33.691,39.551,30.273,115.234
1578400662.722,34.668,31.250,35.156,26.855,116.211
1578400662.726,40.039,35.645,35.156,30.273,19.531
1578400662.730,37.109,42.969,35.645,36.133,34.180
1578400662.734,30.762,32.227,40.527,41.016,67.871
1578400662.737,22.461,26.855,50.781,27.832,62.988
1578400662.741,27.832,44.434,41.504,20.020,31.250
1578400662.745,33.691,50.293,37.109,28.809,-6.348
1578400662.749,23.438,41.504,36.621,27.832,-7.324
1578400662.753,20.508,38.086,33.691,29.297,64.941
1578400662.757,19.043,39.062,39.062,25.391,78.125
1578400662.761,30.273,44.434,39.062,29.297,74.707
1578400662.765,47.852,42.969,36.621,37.598,49.316
1578400662.769,44.922,43.945,31.738,38.086,-22.949
1578400662.773,35.645,44.434,33.691,44.434,-15.137
1578400662.777,36.621,41.992,33.203,41.504,49.805
1578400662.780,45.410,45.898,34.668,38.574,53.711
1578400662.784,53.711,46.875,35.156,41.992,100.098
1578400662.788,51.270,45.410,29.785,48.828,101.074
1578400662.792,44.434,42.969,33.203,53.711,56.641
1578400662.796,45.898,41.992,31.738,45.898,61.523
1578400662.800,54.199,44.922,33.203,39.062,67.383
1578400662.804,59.570,52.246,37.109,42.969,-0.488
1578400662.808,56.152,45.898,32.227,46.875,30.762
1578400662.812,40.039,43.945,30.762,41.504,54.688
1578400662.816,28.809,46.387,28.320,33.691,12.695
