timestamps,TP9,AF7,AF8,TP10,Right AUX
1578401992.195,64.941,41.016,54.688,67.871,60.059
1578401992.198,35.645,29.785,26.855,34.668,75.684
1578401992.202,28.809,22.461,31.250,20.508,20.508
1578401992.206,19.043,-2.930,37.598,14.648,28.809
1578401992.210,24.902,0.977,26.855,24.902,15.625
1578401992.214,31.738,35.156,30.762,35.645,25.391
1578401992.218,31.738,40.527,45.410,33.691,57.129
1578401992.222,33.691,39.062,45.898,24.414,55.176
1578401992.226,41.992,49.805,53.711,41.016,53.711
1578401992.230,50.781,44.922,39.062,60.059,31.250
1578401992.234,35.156,27.832,35.645,47.852,17.578
1578401992.237,14.160,25.391,44.434,26.855,10.742
1578401992.241,9.766,17.578,28.320,18.066,-7.812
1578401992.245,5.371,11.719,31.738,12.695,-38.574
1578401992.249,3.418,29.297,37.598,18.555,-28.809
1578401992.253,11.230,32.227,38.574,32.715,5.859
1578401992.257,17.090,31.738,19.531,34.668,25.391
1578401992.261,46.875,43.945,11.230,42.969,59.082
1578401992.265,68.848,43.457,48.828,64.941,73.242
1578401992.269,38.086,33.691,62.988,54.688,-9.277
1578401992.273,12.207,26.367,39.551,34.668,1.953
1578401992.277,1.953,27.344,37.109,13.184,99.121
1578401992.280,0.488,39.551,35.156,2.930,62.988
1578401992.284,15.137,41.504,39.062,13.184,-21.484
1578401992.288,24.902,49.805,52.246,23.926,-18.066
1578401992.292,46.387,63.965,61.523,57.617,2.930
1578401992.296,33.691,46.875,47.363,44.922,21.973
1578401992.300,8.301,31.250,31.250,14.160,6.348
1578401992.304,30.273,35.156,44.434,35.645,-66.895
1578401992.308,42.480,22.949,41.504,48.340,-17.090
1578401992.312,26.367,21.484,35.645,28.809,75.684
1578401992.316,32.227,41.992,30.273,41.504,53.223
1578401992.320,22.461,27.832,17.090,27.832,54.688
1578401992.323,33.691,38.086,36.133,20.996,34.668
1578401992.327,55.664,63.965,65.430,41.504,22.461
1578401992.331,33.203,49.316,49.316,32.227,106.445
1578401992.335,29.785,51.758,45.898,34.180,104.492
1578401992.339,51.758,55.176,42.480,39.551,60.547
1578401992.343,48.828,37.109,36.621,24.414,24.902
1578401992.347,38.086,35.156,49.316,25.879,33.691
1578401992.351,39.062,28.320,26.367,40.527,96.680
1578401992.355,44.434,20.996,16.113,46.387,78.125
1578401992.359,41.016,29.785,36.133,25.879,64.453
1578401992.362,21.484,33.691,35.645,-0.977,46.875
1578401992.366,22.949,33.691,38.574,12.695,22.461
1578401992.370,40.039,27.344,43.945,40.527,20.020
1578401992.374,52.246,38.574,44.434,56.641,38.086
1578401992.378,51.270,52.246,50.293,51.758,65.430
1578401992.382,48.828,44.922,45.898,43.945,10.742
1578401992.386,63.477,39.062,33.203,47.363,-42.969
1578401992.390,41.992,29.297,22.949,33.691,-21.484
1578401992.394,16.113,23.926,31.738,21.484,25.879
1578401992.398,30.273,41.504,40.039,32.715,64.941
1578401992.402,42.480,48.340,38.086,38.086,81.055
1578401992.405,36.621,42.969,51.270,32.715,70.312
1578401992.409,40.527,40.527,45.898,47.363,50.293
1578401992.413,62.988,50.293,48.828,78.613,41.504
1578401992.417,47.363,46.875,59.570,70.801,41.504
1578401992.421,7.812,9.277,38.574,20.996,58.594
1578401992.425,1.953,11.230,27.832,10.254,39.062
1578401992.429,6.348,36.621,32.715,20.508,23.438
1578401992.433,11.230,33.203,37.109,33.203,77.637
1578401992.437,18.555,24.414,38.086,34.668,105.957
1578401992.441,20.508,34.668,54.199,23.926,75.195
1578401992.445,32.715,44.922,54.688,29.785,10.254
1578401992.448,42.969,37.109,47.363,48.828,-12.207
1578401992.452,46.875,38.574,56.641,71.289,36.133
1578401992.456,47.363,29.297,52.734,67.383,53.223
1578401992.460,50.293,24.902,43.945,54.199,69.336
1578401992.464,53.223,43.457,53.711,58.594,77.148
1578401992.468,47.852,45.410,60.547,55.664,66.895
1578401992.472,40.039,17.578,42.969,50.293,79.590
1578401992.476,41.016,27.344,41.504,50.293,33.203
1578401992.480,48.340,50.293,30.273,41.016,54.688
1578401992.484,53.711,53.223,39.551,41.992,74.707
