timestamps,TP9,AF7,AF8,TP10,Right AUX
1578400989.042,28.320,39.551,32.227,40.527,-5.859
1578400989.046,31.738,41.992,29.297,37.109,-11.719
1578400989.050,45.410,45.898,35.645,33.691,-0.488
1578400989.054,56.152,43.945,41.504,38.574,38.574
1578400989.058,51.758,34.180,33.203,38.086,68.359
1578400989.062,33.203,25.879,28.320,32.227,32.715
1578400989.066,30.762,24.414,33.203,27.832,0.000
1578400989.070,37.598,27.832,33.691,24.414,66.406
1578400989.073,43.945,37.109,35.645,29.785,43.945
1578400989.077,40.039,41.504,35.156,31.738,26.855
1578400989.081,37.598,37.109,37.109,32.715,79.590
1578400989.085,45.898,37.598,43.945,38.086,51.758
1578400989.089,46.875,39.062,42.480,32.227,12.207
1578400989.093,40.527,36.133,36.133,37.598,20.508
1578400989.097,35.645,34.180,30.762,40.039,-7.812
1578400989.101,34.668,32.227,26.367,35.156,-13.184
1578400989.105,38.086,30.273,29.297,33.203,2.930
1578400989.109,46.875,35.645,33.203,34.180,42.969
1578400989.112,54.199,45.410,44.922,44.922,43.945
1578400989.116,52.246,46.387,43.945,44.434,23.438
1578400989.120,42.480,39.062,35.645,42.480,39.551
1578400989.124,37.598,36.133,37.109,41.016,36.133
1578400989.128,46.387,38.574,35.645,33.691,11.230
1578400989.132,50.293,43.945,34.180,27.344,42.480
1578400989.136,49.805,45.898,30.273,28.320,78.613
1578400989.140,44.434,37.598,31.250,32.227,47.852
1578400989.144,36.621,33.691,42.969,38.086,41.504
1578400989.148,41.992,44.434,51.270,39.551,48.828
1578400989.152,48.828,47.363,40.527,32.227,54.688
1578400989.155,45.898,42.969,27.344,31.738,32.227
1578400989.159,39.551,41.504,32.715,37.598,19.531
1578400989.163,36.133,42.480,36.133,37.109,43.945
1578400989.167,37.598,43.945,35.645,39.062,-0.977
1578400989.171,43.457,44.434,43.457,43.457,-20.996
1578400989.175,43.457,44.434,45.410,39.551,20.508
1578400989.179,36.621,43.457,44.434,41.992,39.551
1578400989.183,22.461,37.109,43.457,37.109,73.242
1578400989.187,16.113,30.273,40.039,28.320,52.246
1578400989.191,24.414,34.180,38.574,28.809,23.438
1578400989.195,33.203,38.086,37.598,32.227,0.977
1578400989.198,41.016,33.691,38.574,43.945,44.434
1578400989.202,25.879,33.203,46.875,46.387,68.848
1578400989.206,9.766,34.180,45.898,32.715,7.324
1578400989.210,24.414,34.180,41.016,33.691,5.859
1578400989.214,23.926,36.133,42.480,27.344,24.414
1578400989.218,24.414,42.480,37.598,27.344,28.809
1578400989.222,23.926,39.551,33.691,37.598,60.059
1578400989.226,10.742,31.738,37.109,27.832,73.730
1578400989.230,17.090,34.668,37.109,20.020,-1.953
1578400989.234,33.203,37.109,36.133,20.996,0.977
1578400989.237,35.156,33.203,36.621,27.832,52.246
1578400989.241,28.809,27.832,37.109,35.645,29.785
1578400989.245,22.949,31.250,35.156,30.273,33.203
1578400989.249,33.691,40.527,38.086,34.180,23.438
1578400989.253,41.016,40.527,40.527,35.156,49.805
1578400989.257,29.297,40.039,38.574,33.203,65.918
1578400989.261,20.996,39.062,39.062,41.504,32.227
1578400989.265,17.090,38.574,39.062,33.203,53.711
1578400989.269,21.484,36.133,41.504,20.996,51.270
1578400989.273,33.691,35.156,45.410,23.926,18.555
1578400989.277,39.062,42.480,42.480,27.832,43.457
1578400989.280,37.598,39.062,37.598,29.785,14.648
1578400989.284,28.809,35.645,37.598,27.344,27.832
1578400989.288,35.645,44.434,40.527,25.391,108.887
1578400989.292,38.086,41.992,37.109,24.414,41.504
1578400989.296,35.156,36.133,28.320,19.043,-15.625
1578400989.300,42.969,38.574,32.715,22.949,10.742
1578400989.304,31.250,40.527,41.504,33.203,52.246
1578400989.308,30.273,40.039,40.039,30.273,73.730
1578400989.312,45.898,37.598,41.504,32.227,75.195
1578400989.316,42.480,40.039,41.992,35.645,58.105
1578400989.320,26.855,40.039,36.133,34.180,40.527
1578400989.323,19.531,37.109,39.062,26.855,41.504
1578400989.327,25.391,44.434,40.039,21.484,50.781
1578400989.331,32.227,44.922,31.250,21.484,42.480
1578400989.335,32.715,43.457,27.344,23.926,25.391
1578400989.339,29.785,41.016,31.250,26.367,61.035
1578400989.343,27.344,36.621,36.133,26.855,80.566
1578400989.347,34.180,40.039,38.086,29.785,32.715
1578400989.351,38.574,39.062,39.062,24.414,46.875
1578400989.355,48.340,44.434,38.574,25.879,37.598
1578400989.359,49.805,44.922,39.062,28.320,-6.836
1578400989.362,24.902,35.645,38.574,30.273,-12.207
1578400989.366,16.113,35.645,38.574,34.668,6.836
1578400989.370,30.273,38.574,39.551,28.809,57.129
1578400989.374,36.133,40.527,38.574,25.879,57.129
1578400989.378,32.227,42.969,38.086,32.227,67.383
1578400989.382,26.367,41.016,39.551,35.645,60.059
1578400989.386,24.902,39.551,41.992,33.203,74.219
1578400989.390,30.273,42.480,43.457,29.297,87.891
1578400989.394,43.457,46.875,41.016,32.715,33.691
1578400989.398,46.875,43.945,39.062,41.016,44.922
1578400989.402,28.809,36.621,33.691,32.227,51.270
1578400989.405,21.484,36.621,30.273,28.320,49.805
1578400989.409,33.691,32.715,33.691,38.086,51.758
1578400989.413,43.457,37.109,38.086,35.645,21.973
1578400989.417,43.945,43.457,38.574,28.320,61.523
1578400989.421,41.016,39.062,35.645,35.645,45.410
1578400989.425,35.156,42.969,34.180,41.992,49.316
1578400989.429,44.434,52.246,34.668,41.992,96.191
1578400989.433,48.828,46.875,31.250,33.203,44.434
