timestamps,TP9,AF7,AF8,TP10,Right AUX
1578401571.652,37.598,34.668,35.645,33.203,16.602
1578401571.655,43.945,37.598,37.109,38.086,57.129
1578401571.659,44.922,38.086,45.410,47.363,92.773
1578401571.663,37.109,42.969,51.270,50.293,65.918
1578401571.667,32.227,44.922,42.969,43.945,12.695
1578401571.671,32.715,39.551,32.715,32.715,0.488
1578401571.675,31.738,39.062,40.039,28.809,64.453
1578401571.679,29.297,39.062,49.316,30.762,66.406
1578401571.683,28.809,35.645,47.852,36.133,8.789
1578401571.687,27.344,35.156,47.363,36.621,-8.789
1578401571.691,28.320,39.551,45.410,33.691,31.738
1578401571.694,32.227,39.062,41.992,31.250,49.805
1578401571.698,33.691,35.156,40.527,34.668,-12.695
1578401571.702,26.855,31.738,40.527,33.691,-32.227
1578401571.706,27.832,37.109,38.574,27.832,15.625
1578401571.710,35.156,35.645,32.715,21.484,-3.906
1578401571.714,40.527,38.574,41.504,22.949,-15.137
1578401571.718,41.504,43.945,43.945,29.785,23.926
1578401571.722,32.227,34.180,28.809,30.762,19.531
1578401571.726,20.020,33.691,35.645,28.809,54.688
1578401571.730,22.949,38.574,44.434,27.832,56.152
1578401571.734,40.527,40.527,40.527,32.715,35.645
1578401571.737,46.387,39.062,41.992,41.504,32.715
1578401571.741,33.203,37.109,46.875,44.434,44.922
1578401571.745,10.742,38.574,49.316,30.762,61.523
1578401571.749,15.625,37.598,42.480,29.297,14.160
1578401571.753,24.902,37.598,39.062,30.762,14.160
1578401571.757,32.227,43.457,48.340,41.016,38.574
1578401571.761,39.551,46.875,57.617,52.734,68.359
1578401571.765,25.879,33.691,49.316,35.156,59.570
1578401571.769,26.855,22.949,36.621,32.227,32.715
1578401571.773,38.574,32.715,32.715,35.645,-18.066
1578401571.777,43.457,39.551,31.738,35.156,-17.578
1578401571.780,40.039,37.109,37.598,38.086,16.113
1578401571.784,34.180,35.156,38.574,38.086,5.859
1578401571.788,35.156,33.691,35.645,32.715,39.062
1578401571.792,48.340,38.574,43.945,34.180,24.902
1578401571.796,53.223,44.434,48.340,33.203,2.930
1578401571.800,41.504,40.039,41.992,31.738,37.598
1578401571.804,31.738,37.109,38.574,34.180,39.062
1578401571.808,31.250,29.297,35.156,36.621,8.789
1578401571.812,31.738,26.855,28.809,35.645,24.902
1578401571.816,34.668,35.156,34.668,34.180,6.836
1578401571.819,33.691,38.086,38.574,40.039,26.367
1578401571.823,28.809,41.504,37.598,42.480,75.195
1578401571.827,28.809,42.480,42.480,38.574,54.199
1578401571.831,34.668,42.969,43.457,34.180,20.020
1578401571.835,42.480,43.457,40.527,32.715,9.766
1578401571.839,39.551,38.086,42.480,34.668,9.766
1578401571.843,27.344,32.715,41.016,36.133,68.848
1578401571.847,23.438,31.738,39.551,30.762,89.844
1578401571.851,29.297,29.785,32.227,22.461,91.309
1578401571.855,40.527,31.250,30.762,30.273,60.059
1578401571.859,42.480,30.762,43.945,39.062,51.758
1578401571.862,35.156,34.180,46.875,35.645,42.480
1578401571.866,28.320,40.527,45.410,29.297,85.938
1578401571.870,28.809,38.574,50.781,19.531,81.055
1578401571.874,38.574,45.410,52.246,21.973,56.641
1578401571.878,32.227,43.945,43.945,23.438,51.270
1578401571.882,14.648,35.645,39.062,16.113,37.109
1578401571.886,12.207,32.715,35.645,15.137,69.336
1578401571.890,15.625,31.250,30.273,12.695,49.316
1578401571.894,20.996,32.715,41.016,11.230,31.738
1578401571.898,30.762,37.109,48.340,20.996,50.781
1578401571.902,28.320,37.598,47.852,28.809,63.965
1578401571.905,22.461,33.691,41.016,26.855,50.781
1578401571.909,20.508,41.016,35.645,14.648,16.113
1578401571.913,30.273,48.828,41.992,9.277,42.480
1578401571.917,36.621,45.410,41.992,18.066,74.219
1578401571.921,28.320,40.527,41.016,26.367,41.016
1578401571.925,19.043,40.527,40.039,25.391,-27.344
1578401571.929,20.996,33.203,40.039,18.555,3.906
1578401571.933,25.879,37.598,41.016,17.578,81.543
1578401571.937,29.297,51.758,48.340,24.902,23.438
1578401571.941,26.367,53.223,49.316,28.320,-20.996
1578401571.944,19.531,51.758,41.016,27.344,6.348
1578401571.948,21.484,47.363,44.434,19.531,24.902
1578401571.952,29.297,39.551,49.316,12.695,-7.812
1578401571.956,34.180,44.434,51.270,14.160,27.832
1578401571.960,33.203,51.270,54.688,18.555,42.480
1578401571.964,24.902,51.270,48.828,23.926,-19.531
1578401571.968,19.531,41.992,42.480,21.973,-50.293
1578401571.972,27.344,36.133,48.828,22.949,-24.414
1578401571.976,30.273,36.133,47.852,21.973,-4.883
1578401571.980,22.949,37.109,41.992,22.949,54.199
1578401571.984,25.391,41.992,43.945,33.203,16.602
1578401571.987,34.668,41.504,45.898,37.109,-22.461
1578401571.991,36.621,48.828,47.852,24.902,11.230
1578401571.995,29.297,47.363,47.852,14.160,8.789
1578401571.999,19.043,37.598,44.434,20.508,33.691
1578401572.003,13.672,41.992,43.457,23.438,62.012
1578401572.007,13.184,43.457,41.992,22.461,66.406
1578401572.011,13.672,34.180,39.062,21.973,63.965
1578401572.015,20.508,33.691,31.250,26.855,113.770
1578401572.019,20.020,36.133,33.203,35.156,87.891
1578401572.023,12.207,31.738,37.109,35.645,18.555
1578401572.027,11.230,36.133,29.297,31.250,16.602
1578401572.030,18.555,40.527,35.645,27.832,60.059
1578401572.034,25.879,28.809,33.691,22.461,65.430
1578401572.038,34.668,31.250,34.180,25.879,-3.418
1578401572.042,30.762,38.086,40.527,31.250,-13.184
1578401572.046,26.367,35.645,41.504,35.156,19.043
1578401572.050,34.668,43.945,43.945,31.738,34.180
